  # unexplored nodes    LB at node            LB            UB         Gap at node                 Gap   # columns in pool    # BB Nodes
                   2        455473   3.40282e+38        475174            4.32534%               -100%                1417             3
                   4        455479        455473        475174            4.32396%            4.32534%                1465             5
                   5        455479        455479        475174            4.32396%            4.32396%                1522             7
                   7        455487        455479        475174            4.32205%            4.32396%                1572             9
                   9        455486        455479        475174            4.32248%            4.32396%                1668            11
                  11        455488        455479        475174            4.32198%            4.32396%                1707            13
                  13        455482        455479        475174            4.32325%            4.32396%                1730            15
                  15        455483        455479        475174            4.32298%            4.32396%                1749            17
                  17        455488        455482        475174            4.32197%            4.32325%                1817            19
                  19        455485        455482        475174            4.32255%            4.32325%                1826            21
                  21        455486        455482        475174            4.32234%            4.32325%                1869            23
                  23        455495        455483        475174            4.32021%            4.32298%                1971            25
                  25        455506        455483        475174            4.31785%            4.32298%                2022            27
                  27        455503        455483        475174            4.31858%            4.32298%                2085            29
                  29        455502        455485        475157            4.31487%            4.31877%                2154            31
                  31        455502        455485        475157             4.3149%            4.31877%                2359            33
                  33        455499        455485        475157            4.31561%            4.31877%                2388            35
                  35        455487        455486        475157            4.31838%             4.3187%                2422            37
                  37        455513        455486        475157            4.31231%             4.3187%                2470            39
                  39        455488        455486        475157            4.31817%             4.3187%                2480            41
                  41        455532        455486        475157            4.30817%            4.31856%                2560            43
                  43        455498        455486        475157            4.31585%            4.31856%                2607            45
                  45        455488        455486        475157            4.31805%            4.31856%                2675            47
                  47        455516        455487        475157             4.3117%            4.31838%                2728            49
                  49        455497        455487        475157              4.316%            4.31838%                2737            51
                  51        474551        455487        474988          0.0920409%            4.28141%                2943            53
                  53        455505        455487        474988             4.2772%             4.2813%                3053            55
                  55        455502        455487        474988              4.278%             4.2813%                3091            57
                  57        455490        455487        474988            4.28058%             4.2813%                3125            59
                  59        455505        455488        474771            4.22977%            4.23366%                3209            61
                  61        455489        455488        474771            4.23331%            4.23366%                3232            63
                  63        455491        455488        474771            4.23295%            4.23366%                3237            65
                  65        455498        455488        474771             4.2314%            4.23364%                3282            67
                  67        455501        455488        474771            4.23058%            4.23364%                3326            69
                  69        455526        455488        474771            4.22495%            4.23364%                3573            71
                  71        455515        455488        474771            4.22744%            4.23362%                3678            73
                  73        455498        455488        474771            4.23125%            4.23362%                3746            75
                  75        455492        455488        474771            4.23271%            4.23362%                3757            77
                  77        455513        455488        474771            4.22796%            4.23351%                3821            79
                  79        455491        455488        474771            4.23293%            4.23351%                3837            81
                  81        455498        455488        474771            4.23131%            4.23351%                3910            83
                  83        455501        455489        474771            4.23062%            4.23331%                3921            85
                  85        474371        455489        474771          0.0844606%            4.23331%                4093            87
                  87        455560        455489        474771             4.2172%            4.23331%                4202            89
                  89        456047        455490        474771            4.10578%            4.23301%                4317            91
                  91        455601        455490        474771            4.20767%            4.23301%                4358            93
                  92        455507        455491        474771             4.2293%            4.23295%                4467            95
                  94        455491        455491        474771            4.23291%            4.23295%                4481            97
                  96        455491        455491        474771            4.23291%            4.23295%                4496            99
                  98        455492        455491        474771            4.23275%            4.23293%                4529           101
                 100        455499        455491        474771            4.23105%            4.23293%                4623           103
                 102        455503        455491        474771            4.23017%            4.23293%                4672           105
                 104        455526        455491        474771            4.22494%            4.23291%                4731           107
                 106        455520        455491        474771            4.22623%            4.23291%                4821           109
                 108        455497        455491        474771            4.23145%            4.23291%                4864           111
                 110        455526        455491        474771            4.22494%            4.23291%                4952           113
                 112        455520        455491        474771            4.22623%            4.23291%                5052           115
                 114        455497        455491        474771            4.23145%            4.23291%                5101           117
                 116        455504        455492        474771            4.22987%            4.23275%                5128           119
                 118        455515        455492        474771            4.22745%            4.23275%                5192           121
                 120        455528        455492        474771            4.22439%            4.23275%                5277           123
                 121        455508        455492        474771            4.22903%            4.23271%                5639           125
                 122        455554        455495        474771            4.21849%            4.23189%                6095           127
                 124        455553        455495        474771            4.21863%            4.23189%                6202           129
                 126        455496        455495        474771             4.2317%            4.23189%                6250           131
                 128        455509        455496        474771            4.22875%             4.2317%                6365           133
                 130        455575        455496        474771            4.21362%             4.2317%                6427           135
                 132        455540        455496        474771            4.22169%             4.2317%                6508           137
                 134        456047        455497        474771             4.1059%            4.23146%                6682           139
                 136        455629        455497        474771            4.20137%            4.23146%                6824           141
                 137        455511        455497        474771            4.22841%            4.23145%                6902           143
                 139        455540        455497        474771            4.22161%            4.23145%                6971           145
                 141        455581        455497        474771            4.21237%            4.23145%                7049           147
                 143        455502        455497        474744            4.22431%            4.22548%                7077           149
                 145        455518        455497        474744            4.22065%            4.22548%                7147           151
                 147        455567        455497        474744            4.20948%            4.22548%                7347           153
                 149        455498        455498        474744            4.22537%            4.22543%                7397           155
                 151        455504        455498        474744              4.224%            4.22543%                7532           157
                 153        455508        455498        474744            4.22305%            4.22543%                7624           159
                 155        455510        455498        474744            4.22255%            4.22537%                7642           161
                 157        455513        455498        474744              4.222%            4.22537%                7710           163
                 159        455514        455498        474744            4.22157%            4.22537%                7826           165
                 161        455542        455498        474744             4.2152%            4.22535%                7854           167
                 163        455532        455498        474744            4.21765%            4.22535%                7885           169
                 165        455507        455498        474744             4.2232%            4.22535%                7900           171
                 167        455532        455498        474744            4.21765%            4.22535%                7940           173
                 169        455507        455498        474744             4.2232%            4.22535%                7980           175
                 171        455542        455498        474744             4.2152%            4.22535%                8018           177
                 173        455525        455498        474744            4.21912%            4.22529%                8263           179
                 175        455502        455498        474744            4.22444%            4.22529%                8269           181
                 177        455500        455498        474744            4.22489%            4.22529%                8290           183
                 179        455502        455499        474744            4.22447%            4.22511%                8332           185
                 181        455502        455499        474744            4.22447%            4.22511%                8348           187
                 183        455509        455499        474744            4.22282%            4.22511%                8407           189
                 185        455500        455499        474744            4.22494%            4.22509%                8436           191
                 187        455505        455499        474744            4.22382%            4.22509%                8559           193
                 189        455499        455499        474744            4.22506%            4.22509%                8619           195
                 191        455499        455499        474744            4.22503%            4.22506%                8647           197
                 193        455509        455499        474744            4.22272%            4.22506%                8661           199
                 195        455511        455499        474744            4.22236%            4.22506%                8680           201
                 194        474335        455499        474661          0.0688596%             4.2068%                9141           203
                 196        455507        455500        474661            4.20497%            4.20672%                9163           205
                 198        455533        455500        474661            4.19901%            4.20672%                9208           207
                 200        455544        455500        474661            4.19657%            4.20672%                9270           209
                 202        455504        455500        474661            4.20575%            4.20667%                9488           211
                 204        455510        455500        474661            4.20432%            4.20667%                9728           213
                 206        455504        455500        474661            4.20565%            4.20667%                9814           215
                 208        455521        455501        474661            4.20189%            4.20644%                9904           217
                 210        455516        455501        474661            4.20304%            4.20644%               10123           219
                 212        455502        455501        474661            4.20624%            4.20644%               10129           221
                 214        455501        455501        474661             4.2064%             4.2064%               10169           223
                 216        455534        455501        474661            4.19891%             4.2064%               10275           225
                 218        455508        455501        474661            4.20481%             4.2064%               10317           227
                 220        455504        455501        474661            4.20578%             4.2064%               10337           229
                 222        455515        455501        474661            4.20327%             4.2064%               10367           231
                 224        455508        455501        474661            4.20482%             4.2064%               10381           233
                 226        455503        455502        474661             4.2059%            4.20625%               10604           235
                 228        455507        455502        474661            4.20503%            4.20625%               10672           237
                 230        455524        455502        474661            4.20128%            4.20625%               10758           239
                 232        455502        455502        474661            4.20625%            4.20625%               10809           241
                 234        455504        455502        474661            4.20567%            4.20625%               10822           243
                 236        455507        455502        474661            4.20507%            4.20625%               10884           245
                 238        455517        455502        474661            4.20281%            4.20625%               11074           247
                 240        455520        455502        474661            4.20204%            4.20625%               11144           249
                 242        455502        455502        474661            4.20625%            4.20625%               11176           251
                 244        455504        455502        474661            4.20567%            4.20625%               11188           253
                 246        455514        455502        474661            4.20335%            4.20625%               11209           255
                 248        455539        455502        474661             4.1977%            4.20625%               11275           257
                 250        455546        455502        474661             4.1961%            4.20625%               11351           259
                 252        455524        455502        474661            4.20128%            4.20625%               11463           261
                 254        455503        455502        474661            4.20604%            4.20625%               11476           263
                 255        456051        455502        474661             4.0807%            4.20624%               11623           265
                 257        455644        455502        474661            4.17366%            4.20624%               11696           267
                 259        455504        455502        474661            4.20579%            4.20622%               11803           269
                 261        455506        455502        474661            4.20531%            4.20622%               11887           271
                 263        455516        455502        474661            4.20298%            4.20622%               11923           273
                 265        455509        455502        474661            4.20459%            4.20617%               12049           275
                 267        455507        455502        474661            4.20496%            4.20617%               12068           277
                 269        455517        455502        474661            4.20287%            4.20617%               12224           279
                 271        455513        455502        474661            4.20378%            4.20614%               12288           281
                 273        455502        455502        474661            4.20611%            4.20614%               12304           283
                 275        455504        455502        474661            4.20578%            4.20614%               12388           285
                 277        455518        455502        474661            4.20256%            4.20611%               12420           287
                 279        455504        455502        474661            4.20578%            4.20611%               12535           289
                 281        455522        455502        474661            4.20158%            4.20611%               12644           291
                 283        455515        455502        474661            4.20324%            4.20609%               12709           293
                 285        455514        455502        474661            4.20337%            4.20609%               12756           295
                 287        455507        455502        474661            4.20506%            4.20609%               12906           297
                 289        455535        455503        474661            4.19861%            4.20608%               13145           299
                 291        455518        455503        474661            4.20244%            4.20608%               13192           301
                 293        455540        455503        474661            4.19754%            4.20608%               13241           303
                 295        455504        455503        474661            4.20584%            4.20604%               13276           305
                 297        455540        455503        474661            4.19754%            4.20604%               13334           307
                 299        455522        455503        474661            4.20156%            4.20604%               13376           309
                 301        455504        455503        474661            4.20565%            4.20598%               13396           311
                 303        455508        455503        474661             4.2048%            4.20598%               13417           313
                 305        455508        455503        474661            4.20494%            4.20598%               13440           315
                 307        455504        455503        474661            4.20569%             4.2059%               13478           317
                 309        455527        455503        474661            4.20039%             4.2059%               13527           319
                 311        455541        455503        474661            4.19735%             4.2059%               13637           321
                 313        455512        455504        474661            4.20383%            4.20584%               13661           323
                 315        455526        455504        474661            4.20059%            4.20584%               13705           325
                 317        455531        455504        474661            4.19951%            4.20584%               13755           327
                 318        455538        455504        474661            4.19807%            4.20579%               13875           329
                 320        455527        455504        474661            4.20052%            4.20579%               14001           331
                 322        455538        455504        474661            4.19798%            4.20579%               14132           333
                 324        455515        455504        474661            4.20332%            4.20578%               14262           335
                 326        455507        455504        474661            4.20504%            4.20578%               14289           337
                 328        455526        455504        474661            4.20071%            4.20578%               14497           339
                 330        455507        455504        474661            4.20504%            4.20578%               14518           341
                 332        455516        455504        474661            4.20299%            4.20578%               14560           343
                 334        455511        455504        474661            4.20418%            4.20578%               14710           345
                 336        455507        455504        474661            4.20504%            4.20578%               14724           347
                 338        455514        455504        474661            4.20334%            4.20578%               14798           349
                 340        455509        455504        474661            4.20462%            4.20578%               14925           351
                 342        455516        455504        474661            4.20299%            4.20578%               14994           353
                 344        455509        455504        474661            4.20462%            4.20578%               15118           355
                 346        455507        455504        474661            4.20504%            4.20578%               15125           357

Killed
