  # unexplored nodes    LB at node            LB            UB         Gap at node                 Gap   # columns in pool    # BB Nodes
                   2        416432   3.40282e+38        430012            3.26108%               -100%                1734             3
                   4        419149        416432        430012            2.59168%            3.26108%                1806             5
                   5        422076        416432        430012            1.88028%            3.26108%                1959             7
                   7        419156        419149        430012             2.5899%            2.59168%                1993             9
                   9        419199        419149        430012            2.57938%            2.59168%                2009            11
                  10        419204        419149        430012            2.57832%            2.59168%                2143            13
                  12        419273        419156        430012            2.56133%             2.5899%                2218            16
                  13        419164        419156        429981            2.58052%            2.58242%                2236            18
                  14        419250        419156        429981            2.55955%            2.58242%                2307            20
                  16        419170        419164        429981            2.57908%            2.58052%                2309            22
                  17        420695        419164        429981            2.20723%            2.58052%                2471            24
                  18        419241        419170        429981            2.56168%            2.57908%                2513            26
                  20        419244        419170        429981            2.56086%            2.57908%                2607            28
                  22        419191        419170        429900            2.55446%            2.55972%                2617            30
                  24        419207        419191        429900            2.55069%            2.55446%                2657            32
                  26        419248        419191        429900             2.5407%            2.55446%                2696            34
                  28        419242        419191        429900            2.54221%            2.55446%                2701            36
                  29        422098        419199        429900            1.84822%            2.55254%                2746            38
                  30        420621        419199        429900            2.20587%            2.55254%                2774            40
                  32        419555        419199        429900            2.46554%            2.55254%                2791            42
                  33        420611        419204        429900            2.20835%            2.55147%                3006            44
                  35        419207        419204        429900            2.55075%            2.55147%                3022            46
                  37        419224        419207        429900            2.54651%            2.55075%                3076            48
                  39        419289        419207        429900            2.53059%            2.55075%                3120            50
                  41        419318        419207        429900             2.5236%            2.55075%                3137            52
                  43        419219        419207        429900            2.54764%            2.55069%                3231            54
                  45        419239        419207        429835            2.52742%            2.53535%                3250            56
                  47        419238        419207        429835            2.52767%            2.53535%                3350            58
                  49        419263        419219        429835            2.52158%             2.5323%                3498            60
                  51        419236        419219        429753            2.50851%            2.51259%                3536            62
                  53        419242        419219        429753            2.50705%            2.51259%                3559            64
                  55        419329        419224        429753            2.48589%            2.51147%                3570            66
                  56        419328        419224        429753             2.4861%            2.51147%                3592            68
                  58        419227        419224        429753            2.51075%            2.51147%                3650            70
                  60        419229        419227        429753            2.51027%            2.51075%                3704            72
                  62        419334        419227        429753            2.48455%            2.51075%                3711            74
                  63        419331        419227        429753            2.48539%            2.51075%                3737            76
                  64        419247        419229        429753            2.50595%            2.51027%                3810            78
                  66        419348        419229        429753            2.48115%            2.51027%                3834            80
                  68        419337        419229        429753             2.4838%            2.51027%                3860            82
                  70        422045        419236        429753            1.82631%            2.50851%                3938            84
                  71        422004        419236        429753            1.83607%            2.50851%                4073            86
                  73        419246        419238        429753            2.50615%            2.50796%                4084            88
                  75        419267        419238        429753            2.50101%            2.50796%                4218            90
                  77        419273        419238        429753            2.49957%            2.50796%                4239            92
                  79        419286        419239        429753            2.49631%            2.50771%                4304            94
                  81        419264        419239        429753             2.5016%            2.50771%                4348            96
                  83        419249        419239        429753            2.50534%            2.50771%                4371            98
                  85        419365        419241        429753            2.47709%            2.50728%                4492           101
                  87        419241        419241        429753            2.50728%            2.50728%                4494           103
                  88        419247        419241        429753            2.50588%            2.50728%                4517           105
                  90        419567        419241        429753            2.42754%            2.50728%                4679           108
                  92        419437        419241        429753            2.45938%            2.50728%                4736           110
                  94        419274        419242        429753            2.49924%            2.50717%                4760           112
                  96        419254        419242        429753            2.50412%            2.50717%                4849           114
                  98        419273        419242        429753            2.49949%            2.50717%                4975           116
                 100        419293        419242        429753            2.49456%            2.50705%                5002           118
                 102        419245        419242        429753            2.50629%            2.50705%                5071           120
                 104        419267        419242        429753            2.50084%            2.50705%                5115           122
                 106        419277        419244        429753            2.49853%            2.50646%                5136           124
                 108        419257        419244        429753            2.50341%            2.50646%                5256           126
                 110        419276        419244        429753            2.49877%            2.50646%                5356           128
                 111        419365        419245        429753             2.4771%            2.50629%                5424           130
                 113        419287        419245        429753            2.49597%            2.50629%                5530           132
                 114        419287        419245        429753              2.496%            2.50629%                5556           134
                 116        419324        419246        429753            2.48713%            2.50615%                5585           136
                 118        419296        419246        429753            2.49381%            2.50615%                5610           138
                 120        419256        419246        429753            2.50362%            2.50615%                5824           140
                 122        419245        419247        429753            2.50636%            2.50595%                5830           142
                 124        419255        419245        429753            2.50377%            2.50636%                5870           144
                 126        419353        419245        429753            2.47997%            2.50636%                5920           146
                 128        419358        419245        429753            2.47871%            2.50636%                5922           148
                 130        419440        419247        429753            2.45859%            2.50595%                6015           151
                 132        422557        419247        429753            1.70281%            2.50588%                6209           153
                 133        419275        419247        429753            2.49907%            2.50588%                6220           155
                 135        419280        419248        429753            2.49773%            2.50566%                6254           157
                 137        419260        419248        429753            2.50262%            2.50566%                6380           159
                 139        419279        419248        429753            2.49798%            2.50566%                6494           161
                 141        419254        419249        429753            2.50407%            2.50534%                6518           163
                 143        419265        419249        429753            2.50154%            2.50534%                6549           165
                 145        419283        419249        429753            2.49704%            2.50534%                6583           167
                 146        419728        419250        429753            2.38839%            2.50515%                6704           169
                 148        419250        419250        429753            2.50515%            2.50515%                6710           171
                 150        419280        419250        429753            2.49766%            2.50515%                6822           173
                 152        419262        419250        429753            2.50211%            2.50515%                6951           175
                 154        419282        419250        429753            2.49722%            2.50515%                6981           177
                 156        419271        419254        429753            2.50004%            2.50412%                7015           179
                 158        419277        419254        429753            2.49857%            2.50412%                7059           181
                 160        419298        419254        429753            2.49339%            2.50412%                7230           183
                 162        422107        419254        429753            1.81135%            2.50407%                7354           185
                 163        422051        419254        429753            1.82479%            2.50407%                7546           187
                 165        419359        419255        429753            2.47845%            2.50377%                7564           189
                 167        419254        419255        429753            2.50407%            2.50377%                7619           191
                 169        419260        419254        429753            2.50275%            2.50407%                7675           193
                 171        419361        419254        429753            2.47804%            2.50407%                7690           195
                 173        419367        419254        429753            2.47658%            2.50407%                7706           197
                 175        419370        419255        429753            2.47574%            2.50377%                7796           199
                 177        420036        419256        429753            2.31319%            2.50362%                7823           201
                 178        421317        419256        429753            2.00211%            2.50362%                7931           203
                 179        422194        419256        429753            1.79022%            2.50362%                8024           205
                 181        419301        419257        429753            2.49268%            2.50341%                8198           207
                 183        419280        419257        429753            2.49786%            2.50341%                8213           209
                 185        419274        419257        429753            2.49933%            2.50341%                8234           211
                 186        422142        419260        429753            1.80293%            2.50275%                8277           213
