  # unexplored nodes    LB at node            LB            UB         Gap at node                 Gap   # columns in pool    # BB Nodes
                   3        401798   3.40282e+38        424839            5.73449%               -100%                2050             4
                   4        401937        401798        424839            5.69795%            5.73449%                2103             6
                   6        413465        401798        424839            2.75085%            5.73449%                2300             9
                   8        414920        401798        424839            2.39058%            5.73449%                2501            12
                   9        401945        401937        424839            5.69575%            5.69795%                2503            14
                  11        414920        401937        424839            2.39058%            5.69795%                2668            17
                  12        402007        401945        424839             5.6795%            5.69575%                2721            19
                  14        413467        401945        424839            2.75049%            5.69575%                2855            22
                  16        414828        402007        424839            2.41336%             5.6795%                3024            25
                  17        402019        402007        424839             5.6763%             5.6795%                3028            27
                  19        402115        402019        424839            5.65105%             5.6763%                3039            30
                  21        415047        402019        424839            2.35915%             5.6763%                3194            33
                  20        408162        402115        424839            4.08578%            5.65105%                3386            33
                  22        408649        402115        424839            3.96183%            5.65105%                3551            36
                  24        408649        402115        424839            3.96183%            5.65105%                3748            39
                  25        408661        408649        424839            3.95886%            3.96183%                3763            41
                  24        408661        408649        424839            3.95886%            3.96183%                4476            43
                  23        408661        408661        424839            3.95877%            3.95886%                5193            45
                  22        408661        408661        424839            3.95877%            3.95886%                5589            47
                  25        408797        408661        424839            3.92428%            3.95877%                5597            51
                  27        416903        408661        424839            1.90361%            3.95877%                5836            54
                  30        408797        408661        424839            3.92428%            3.95877%                5843            58
                  32        416903        408661        424839            1.90361%            3.95877%                6046            61
                  29        408797        408797        424839            3.92428%            3.92428%                6070            63
                  31        408797        408797        424839            3.92428%            3.92428%                6073            65
                  33        408807        408797        424839            3.92173%            3.92428%                6095            67
                  35        408811        408797        424839            3.92069%            3.92428%                6102            69
                  37        408811        408797        424839            3.92072%            3.92428%                6110            71
                  39        408811        408797        424839            3.92069%            3.92428%                6115            73
                  41        408811        408797        424839            3.92072%            3.92428%                6125            75
                  43        408807        408797        424839            3.92173%            3.92428%                6148            77
                  44        409143        408807        424839            3.83645%            3.92173%                6322            79
                  45        408976        408807        424839            3.87874%            3.92173%                6341            81
                  47        409143        408807        424839            3.83645%            3.92173%                6496            83
                  48        408976        408807        424839            3.87874%            3.92173%                6516            85
                  50        408863        408807        424839             3.9075%            3.92173%                6542            87
                  52        408863        408807        424839             3.9075%            3.92173%                6566            89
                  54        408979        408811        424839            3.87789%            3.92072%                6635            91
                  56        408867        408811        424839            3.90631%            3.92072%                6641            93
                  58        408979        408811        424839            3.87789%            3.92072%                6713            95
                  60        409144        408811        424839            3.83615%            3.92072%                6815            97
                  62        408867        408811        424839            3.90631%            3.92072%                6822            99
                  64        409144        408811        424839            3.83615%            3.92072%                6904           101
                  66        409061        408811        424839            3.85723%            3.92069%                6958           103
                  68        409061        408811        424839            3.85723%            3.92069%                7037           105
                  70        409076        408811        424839            3.85337%            3.92069%                7141           107
                  72        408815        408811        424839            3.91961%            3.92069%                7160           109
                  74        409076        408811        424839            3.85337%            3.92069%                7267           111
                  76        408815        408811        424839            3.91961%            3.92069%                7294           113
                  78        409155        408815        424839            3.83337%            3.91961%                7434           115
                  80        408989        408815        424839            3.87537%            3.91961%                7472           117
                  82        409002        408815        424839            3.87221%            3.91961%                7498           119
                  84        409155        408815        424839            3.83337%            3.91961%                7659           121
                  86        408989        408815        424839            3.87537%            3.91961%                7689           123
                  88        409002        408815        424839            3.87221%            3.91961%                7750           125
                  90        408866        408863        424839            3.90675%             3.9075%                7752           127
                  92        408867        408863        424839            3.90637%             3.9075%                7780           129
                  94        408923        408863        424839            3.89222%             3.9075%                7965           131
                  96        408867        408863        424839            3.90637%             3.9075%                7981           133
                  98        408923        408863        424839            3.89222%             3.9075%                8189           135
                 100        408866        408863        424839            3.90675%             3.9075%                8261           137
                 102        408985        408866        424839            3.87643%            3.90675%                8312           139
                 104        408985        408866        424839            3.87643%            3.90675%                8361           141
                 106        409218        408866        424839            3.81722%            3.90675%                8609           144
                 108        409109        408866        424839              3.845%            3.90675%                8668           146
                 110        409218        408866        424839            3.81722%            3.90675%                8885           149
                 112        409109        408866        424839              3.845%            3.90675%                9008           151
                 114        409120        408867        424839             3.8421%            3.90637%                9078           153
                 116        409119        408867        424839            3.84232%            3.90637%                9149           155
                 118        409001        408867        424839            3.87227%            3.90637%                9189           157
                 120        409084        408867        424839            3.85143%            3.90637%                9355           159
                 122        409001        408867        424839            3.87227%            3.90637%                9388           161
                 124        409084        408867        424839            3.85143%            3.90637%                9536           163
                 126        408922        408867        424839            3.89242%            3.90631%                9576           166
                 128        408868        408867        424839            3.90609%            3.90631%                9579           168
                 130        408868        408867        424839            3.90617%            3.90631%                9658           170
                 132        408868        408867        424839            3.90609%            3.90631%                9662           172
                 134        408868        408867        424839            3.90617%            3.90631%                9759           174

Killed
