  # unexplored nodes    LB at node            LB            UB         Gap at node                 Gap   # columns in pool    # BB Nodes
                   2        407706   3.40282e+38        428821            5.17902%               -100%                2683             3
                   3        407707        407706        428821            5.17874%            5.17902%                2775             5
                   4        407711        407706        428821            5.17765%            5.17902%                3428             7
                   5        407828        407707        428821            5.14754%            5.17874%                3453             9
                   6        415971        407707        428821            3.08913%            5.17874%                3841            11
                   7        407830        407711        428821            5.14716%            5.17765%                3922            13
                   7        407905        407828        428821            5.12772%            5.14754%                4206            15
                   9        407834        407828        428821            5.14602%            5.14754%                4223            17
                  11        407835        407830        428821            5.14564%            5.14716%                4274            19
                  12        407844        407834        428821            5.14353%            5.14602%                4376            21
                  13        407870        407834        428821            5.13673%            5.14602%                4459            23
                  15        407942        407834        428821            5.11812%            5.14602%                4683            25
                  17        407947        407835        428821            5.11698%            5.14564%                4891            27
                  19        407872        407835        428821             5.1361%            5.14564%                4989            29
                  21        407847        407835        428821            5.14277%            5.14564%                5062            31
                  22        407882        407844        428821            5.13356%            5.14353%                5171            33
                  24        407853        407844        428821            5.14099%            5.14353%                5363            35
                  26        407846        407844        428821            5.14291%            5.14353%                5469            37
                  27        407860        407846        428821            5.13921%            5.14291%                5660            39

Killed
