  # unexplored nodes    LB at node            LB            UB         Gap at node                 Gap   # columns in pool    # BB Nodes
                   2        405847   3.40282e+38        433948            6.92408%               -100%                1901             3
                   4        411937        405847        428159            3.93787%            5.49767%                2011             5
                   6        414040        405847        428159            3.40998%            5.49767%                2326             8
                   7        411977        411937        428159            3.92799%            3.93787%                2465            10
                   9        411942        411937        428159            3.93658%            3.93787%                2492            12
                  11        412004        411937        428159            3.92117%            3.93787%                2610            14
                  13        411953        411942        428159             3.9339%            3.93651%                2667            16
                  15        411952        411942        428141            3.92981%            3.93216%                2813            18
                  17        411965        411942        428141            3.92642%            3.93216%                2840            20
                  19        412006        411952        428141            3.91621%            3.92981%                2951            22
                  21        411952        411952        428141            3.92981%            3.92981%                3038            24
                  23        411967        411952        428141            3.92604%            3.92981%                3051            26
                  25        412839        411952        428141            3.70658%            3.92981%                3193            28
                  27        412506        411952        428141            3.79005%            3.92981%                3267            30
                  29        411986        411952        428141            3.92107%            3.92981%                3311            32
                  31        412243        411953        428141            3.85646%            3.92955%                3474            35
                  33        412176        411953        428141            3.87339%            3.92955%                3558            37
                  34        412187        411953        428135            3.86913%             3.9281%                3767            39
                  36        411985        411965        428135            3.91993%            3.92497%                3805            41
                  38        411972        411965        428135            3.92323%            3.92497%                3894            43
                  40        411976        411965        428135            3.92233%            3.92497%                3918            45
                  42        412149        411967        428135            3.87871%             3.9246%                3988            47
                  44        411980        411967        428135            3.92119%             3.9246%                4004            49
                  46        411980        411967        428135            3.92119%             3.9246%                4030            51
                  47        412032        411972        428135            3.90801%            3.92323%                4128            53
                  49        411976        411972        428135            3.92219%            3.92323%                4152            55
                  50        412012        411972        428135            3.91328%            3.92323%                4199            57
                  52        411996        411976        428135            3.91717%            3.92233%                4220            59
                  54        412033        411976        428135            3.90793%            3.92233%                4322            61
                  55        412109        411976        428135            3.88884%            3.92233%                4404            63
                  57        412005        411976        428135            3.91489%            3.92219%                4423            65
                  59        411993        411976        428135            3.91801%            3.92219%                4466            67
                  61        411981        411976        428135            3.92091%            3.92219%                4493            69
                  62        412044        411977        428135            3.90502%            3.92213%                4606            71
                  64        411990        411977        428135            3.91865%            3.92213%                4614            73
                  66        412001        411980        428135            3.91596%            3.92119%                4645            75
                  68        412001        411980        428135            3.91596%            3.92119%                4684            77
                  70        411991        411980        428135            3.91842%            3.92119%                4702            79
                  72        412036        411980        428135            3.90723%            3.92119%                4811            81
                  74        411991        411980        428135            3.91842%            3.92119%                4831            83
                  76        412036        411980        428135            3.90723%            3.92119%                4928            85
                  78        411982        411981        428135            3.92078%            3.92091%                4968            87
                  80        412049        411981        428135            3.90384%            3.92091%                5073            89
                  82        412023        411981        428135            3.91042%            3.92091%                5087            91
                  84        412877        411982        428135            3.69545%            3.92078%                5165            93
                  86        412556        411982        428135            3.77626%            3.92078%                5195            95
                  88        412018        411982        428135            3.91163%            3.92078%                5222            97
                  90        411990        411985        428135            3.91872%            3.91993%                5244            99
                  92        412026        411985        428135            3.90955%            3.91993%                5289           101
                  93        412347        411985        428135            3.82872%            3.91993%                5435           103
                  95        411989        411986        428135            3.91906%            3.91963%                5462           105
                  97        412025        411986        428135            3.90981%            3.91963%                5528           107
                  99        412011        411986        428135            3.91343%            3.91963%                5529           109
                 101        412043        411989        428135            3.90536%            3.91906%                5592           111
                 103        411991        411989        428135            3.91857%            3.91906%                5869           113
                 105        411994        411989        428135            3.91765%            3.91906%                5875           115
                 107        412026        411990        428135            3.90955%            3.91872%                5931           117
                 109        411996        411990        428135            3.91727%            3.91872%                5946           119
                 110        412355        411990        428135            3.82668%            3.91872%                6072           121
                 112        411995        411990        428135            3.91755%            3.91865%                6168           123
                 114        411997        411990        428135            3.91701%            3.91865%                6312           125
                 116        412003        411990        428135            3.91547%            3.91865%                6344           127
                 115        412024        411991        428135            3.91009%            3.91857%                6422           127
                 117        412024        411991        428135            3.91009%            3.91857%                6455           129
                 119        412036        411991        428135            3.90718%            3.91857%                6481           131
                 121        417703        411991        428135            2.49749%            3.91842%                6512           134
                 123        412020        411991        428135            3.91105%            3.91842%                6576           136
                 125        412046        411991        428135            3.90464%            3.91842%                6663           138
                 127        417703        411991        428135            2.49749%            3.91842%                6708           141
                 129        412051        411991        428135            3.90336%            3.91842%                6772           143
                 131        412020        411991        428135            3.91105%            3.91842%                6862           145
                 133        412001        411993        428135            3.91604%            3.91801%                6876           147
                 135        412032        411993        428135            3.90816%            3.91801%                6911           149
                 134        412006        411993        428135            3.91464%            3.91801%                6942           149
                 136        412033        411994        428135             3.9079%            3.91765%                7003           151
                 138        412027        411994        428135            3.90937%            3.91765%                7012           153
                 140        412033        411994        428135            3.90789%            3.91765%                7039           155
                 141        412257        411995        428135            3.85154%            3.91755%                7092           157
                 142        412244        411995        428135            3.85467%            3.91755%                7265           159
                 143        412339        411995        428135            3.83088%            3.91755%                7433           161
                 145        412191        411996        428135              3.868%            3.91727%                7502           163
                 147        412028        411996        428135            3.90924%            3.91727%                7511           165
                 148        412094        411996        428135            3.89239%            3.91727%                7578           167
                 150        412001        411996        428135            3.91607%            3.91717%                7609           169
                 152        412041        411996        428135            3.90596%            3.91717%                7627           171
                 154        412031        411996        428135            3.90845%            3.91717%                7678           173
                 155        412006        411997        428135            3.91476%            3.91701%                7695           175
                 157        411999        411997        428135            3.91642%            3.91701%                7712           177
                 158        412004        411997        428135            3.91517%            3.91701%                7893           179
                 160        412071        411999        428135             3.8982%            3.91642%                8036           181
                 162        412041        411999        428135            3.90592%            3.91642%                8087           183
                 163        412002        411999        428135            3.91567%            3.91642%                8093           185
                 165        412897        412001        428135            3.69037%            3.91607%                8130           187
                 167        412576        412001        428135            3.77117%            3.91607%                8208           189
                 169        412036        412001        428135            3.90701%            3.91607%                8263           191
                 171        412013        412001        428135            3.91287%            3.91604%                8333           193
                 173        412688        412001        428135            3.74287%            3.91604%                8453           195
                 175        412018        412001        428135            3.91163%            3.91604%                8459           197
                 177        412046        412001        428135            3.90465%            3.91596%                8474           199
                 179        412038        412001        428135            3.90667%            3.91596%                8496           201
                 181        412014        412001        428135            3.91256%            3.91596%                8591           203
                 183        417733        412001        428135            2.49001%            3.91596%                8636           206
                 185        417733        412001        428135            2.49001%            3.91596%                8676           209

Killed
